2025-12-31 17:19:37 | INFO     | trading_engine | Updating trading universe...
2025-12-31 17:19:37 | INFO     | data_manager | Building trading universe...
2025-12-31 17:19:43 | INFO     | data_manager | Universe built with 5 symbols: ['NVDA', 'TSLA', 'AAPL', 'GOOGL', 'AMZN']
2025-12-31 17:19:44 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:19:47 | INFO     | __main__ | Test iteration complete
2025-12-31 17:21:34 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:21:34 | INFO     | __main__ | ============================================================
2025-12-31 17:21:34 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:21:34 | INFO     | __main__ | ============================================================
2025-12-31 17:21:34 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:21:34 | INFO     | state_manager | State reset for new session
2025-12-31 17:21:35 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:21:35 | INFO     | trading_engine | Updating trading universe...
2025-12-31 17:21:35 | INFO     | data_manager | Building trading universe...
2025-12-31 17:21:42 | INFO     | data_manager | Universe built with 5 symbols: ['NVDA', 'TSLA', 'AAPL', 'GOOGL', 'AMZN']
2025-12-31 17:21:42 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:21:47 | INFO     | __main__ | Test iteration complete
2025-12-31 17:21:52 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:21:52 | INFO     | state_manager | State loaded from file
2025-12-31 17:21:52 | INFO     | __main__ | ============================================================
2025-12-31 17:21:52 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:21:52 | INFO     | __main__ | ============================================================
2025-12-31 17:21:52 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:21:52 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:21:52 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:21:57 | INFO     | __main__ | Test iteration complete
2025-12-31 17:26:39 | INFO     | __main__ | ============================================================
2025-12-31 17:26:39 | INFO     | __main__ | 5-MINUTE EMA CROSSOVER BOT - STARTING
2025-12-31 17:26:39 | INFO     | __main__ | ============================================================
2025-12-31 17:26:39 | INFO     | __main__ | Paper Trading: https://paper-api.alpaca.markets
2025-12-31 17:26:39 | INFO     | __main__ | Timezone: Europe/Dublin
2025-12-31 17:26:39 | INFO     | __main__ | Market Hours: 14:30:00 - 21:00:00
2025-12-31 17:26:39 | INFO     | __main__ | Entry Window: 14:35:00 - 20:30:00
2025-12-31 17:26:39 | INFO     | __main__ | ============================================================
2025-12-31 17:26:39 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:26:39 | INFO     | state_manager | State loaded from file
2025-12-31 17:26:39 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:26:40 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:26:40 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:26:40 | INFO     | __main__ | Scheduler started - running every 5 minutes during market hours
2025-12-31 17:26:40 | INFO     | __main__ | Press Ctrl+C to stop
2025-12-31 17:49:19 | INFO     | __main__ | Received signal 2, initiating graceful shutdown...
2025-12-31 17:49:19 | INFO     | trading_engine | Initiating graceful shutdown...
2025-12-31 17:49:19 | INFO     | trading_engine | Shutdown complete
2025-12-31 17:49:28 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:49:28 | INFO     | state_manager | State loaded from file
2025-12-31 17:49:28 | INFO     | __main__ | ============================================================
2025-12-31 17:49:28 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:49:28 | INFO     | __main__ | ============================================================
2025-12-31 17:49:28 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:49:29 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:49:29 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:49:34 | INFO     | __main__ | Test iteration complete
